G,R,X,Y,UID,GR,Y_count
Female,White,44,2.772588722239781,1,FW,2.47826772188293
Male,White,43,2.19722457733622,2,MW,2.31086895529142
Male,White,16,1.791759469228055,3,MW,1.69288501057867
Male,White,13,1.9459101490553128,4,MW,1.7899706080608702
Male,Black,66,5.5909869805108565,5,MB,5.86333585724328
Male,Black,20,0.6931471805599453,6,MB,0.933319161736182
Male,Black,34,1.0986122886681098,7,MB,1.44690379563535
Female,Black,69,1.3862943611198906,8,FB,1.38629436111985
Female,Black,44,2.19722457733622,9,FB,2.19722457733633
Female,Black,9,1.0986122886681098,10,FB,1.0986122886682
Female,White,43,1.0986122886681098,11,FW,0.7949002961080921
Male,White,43,1.9459101490553128,12,MW,2.05955452702008
Male,White,19,2.3978952727983707,13,MW,2.34993883935201
Female,White,17,2.079441541679836,14,FW,1.68467766823581
Female,White,12,2.302585092994046,15,FW,1.97334491564482
Male,White,10,2.302585092994046,16,MW,2.0845859857371103
Female,White,9,1.9459101490553128,17,FW,1.6669947175327098
Male,White,16,1.3862943611198906,18,MW,1.28741990246961
Male,White,30,0.6931471805599453,19,MW,0.7684677553066669
Male,White,30,1.0986122886681098,20,MW,1.17393286341483
Female,White,29,2.079441541679836,21,FW,1.65734086552904
Male,White,1,2.3978952727983707,22,MW,1.9752762953331298
Female,White,48,1.3862943611198906,23,FW,1.12579248462764
Male,White,38,1.3862943611198906,24,MW,1.49625722837325
Female,White,70,1.9459101490553128,25,FW,1.7490948963381299
Female,Black,37,1.0986122886681098,26,FB,1.09861228866815
Female,White,1,1.0986122886681098,27,FW,0.977269405815484
Male,White,14,1.0986122886681098,28,MW,0.96230630164426
Male,Black,38,0.6931471805599453,29,MB,1.04957165620201
Female,Black,16,1.0986122886681098,30,FB,1.09861228866816
Female,White,73,2.6390573296152584,31,FW,2.43968159358935
Male,White,51,0.6931471805599453,32,MW,0.791611218977332
Male,White,30,0.6931471805599453,33,MW,0.7684677553066669
Female,Black,32,1.3862943611198906,34,FB,1.38629436111992
Male,Black,34,0.6931471805599453,35,MB,1.04143868752729
Female,Black,3,1.3862943611198906,36,FB,1.38629436112001
Male,Black,60,1.791759469228055,37,MB,2.09562166259655
Male,Black,22,0.6931471805599453,38,MB,0.9578492721318079
Female,Black,17,1.0986122886681098,39,FB,1.09861228866816
Female,Black,16,0.6931471805599453,40,FB,0.693147180559999
Female,Black,5,1.0986122886681098,41,FB,1.09861228866821
Male,Black,34,1.6094379124341005,42,MB,1.9577294194014498
Female,White,37,1.6094379124341005,43,FW,1.2475701435526398
Male,White,16,1.3862943611198906,44,MW,1.28741990246961
Male,White,83,3.0445224377234235,45,MW,2.93362515820531
Female,White,84,2.302585092994046,46,FW,2.0837191392513303
Male,Black,55,1.0986122886681098,47,MB,1.42431251788389
Female,White,40,4.5217885770490405,48,FW,4.188912208654
Male,White,15,2.19722457733622,49,MW,2.07995451372506
Female,White,35,3.49650756146648,50,FW,3.1164623050511895
Female,White,9,2.19722457733622,51,FW,1.91830914581362
Male,Black,75,3.4657359027997265,52,MB,3.68289241705697
Female,Black,64,3.49650756146648,53,FB,3.4965075614665495
Female,Black,22,0.6931471805599453,54,FB,0.6931471805599829
Male,Black,5,1.3862943611198906,55,MB,1.36078662938095
Male,White,34,1.0986122886681098,56,MW,1.19619266283799
Female,White,33,1.0986122886681098,57,FW,0.7020474457135129
Female,White,7,0.6931471805599453,58,FW,0.45116200490370506
Male,White,4,1.6094379124341005,59,MW,1.25694651372705
Male,Black,41,4.110873864173311,60,MB,4.4684894977933896
Female,Black,72,2.19722457733622,61,FB,2.1972245773363
Female,White,59,2.079441541679836,62,FW,1.8728935033806002
Male,Black,24,0.6931471805599453,63,MB,0.9790450411323101
Male,White,40,0.6931471805599453,64,MW,0.8060267109181329
Female,White,30,2.4849066497880004,65,FW,2.06805438656823
Male,White,1,1.0986122886681098,66,MW,0.67599331120287
Male,White,72,2.3978952727983707,67,MW,2.37575666311408
Male,Black,61,2.302585092994046,68,MB,2.60156456099186
Female,Black,41,2.8903717578961645,69,FB,2.8903717578962005
Male,White,28,1.3862943611198906,70,MW,1.4463516398371898
Male,White,52,1.6094379124341005,71,MW,1.70453242346769
Female,White,33,3.0910424533583165,72,FW,2.69447761040372
Male,Black,12,2.3978952727983707,73,MB,2.5105105360846802
Female,Black,8,2.079441541679836,74,FB,2.07944154167993
Female,White,3,1.9459101490553128,75,FW,1.7832907492166798
Female,White,53,2.19722457733622,76,FW,1.96792390510533
Female,White,55,2.3978952727983707,77,FW,2.17782808190548
Male,White,73,1.6094379124341005,78,MW,1.5796308534411498
Female,Black,25,1.9459101490553128,79,FB,1.94591014905535
Male,Black,6,1.0986122886681098,80,MB,1.09377811210735
Male,Black,3,1.6094379124341005,81,MB,1.54200986240644
Male,White,64,1.9459101490553128,82,MW,1.98020608021191
Female,White,64,1.0986122886681098,83,FW,0.9008456901946039
Female,Black,35,2.7080502011022096,84,FB,2.7080502011022403
Male,White,78,2.302585092994046,85,MW,2.23301171394229
Female,White,78,3.0910424533583165,86,FW,2.88421315532543
Male,White,60,1.3862943611198906,87,MW,1.4446065458262602
Female,White,57,2.19722457733622,88,FW,1.9847041143441697
Female,Black,79,1.6094379124341005,89,FB,1.6094379124341798
Male,Black,81,1.3862943611198906,90,MB,1.56342832769715
