G,R,X,Y,Y_bi,UID,GR,noise_Y_bi,X_count,Y_count,Y_count_resolve
Male,Black,0.03699094444385828,0.3575561836478441,0,1,MB,0,0.3894103342896633,0.588538808403944,0.43716020397558697
Male,White,-1.6145070257326195,-0.3475605357751965,0,2,MW,0,-1.6300473058842375,-0.6334469700558645,-0.6269823944598005
Male,Black,0.4039904933719645,0.3575561836478441,0,3,MB,0,0.7564098832177695,0.588538808403944,0.43716020397558697
Male,Black,0.4039904933719645,-0.3475605357751965,0,4,MB,0,0.7564098832177695,-0.11657791101909654,-0.26795651544745364
Female,White,0.7709900423000706,1.4152312627824049,1,5,FW,0,0.6695690116716577,1.286051831144758,1.3282245769607797
Male,Black,-0.3300086044842479,0.7101145433593643,0,6,MB,0,0.022410785361557106,0.9410971681154643,0.7897185636871072
Male,Black,0.4039904933719645,-1.7577939746212776,0,7,MB,0,0.7564098832177695,-1.5268113498651776,-1.6781899542935348
Male,White,-0.14650883002019482,0.004997823936323781,0,8,MW,0,-0.16204911017181278,-0.2808886103443442,-0.27442403474828025
Male,White,0.03699094444385828,0.7101145433593643,0,9,MW,0,0.021450664292240323,0.4242281090786963,0.4306926846747603
Male,Black,-1.4310072512685663,-0.3475605357751965,0,10,MB,0,-1.0785878614227613,-0.11657791101909654,-0.26795651544745364
Male,Black,0.7709900423000706,-1.4052356149097571,0,11,MB,0,1.1234094321458756,-1.1742529901536571,-1.3256315945820143
Male,Black,0.7709900423000706,0.3575561836478441,0,12,MB,0,1.1234094321458756,0.588538808403944,0.43716020397558697
Male,White,0.7709900423000706,1.4152312627824049,1,13,MW,1,0.7554497621484526,1.129344828501737,1.1358094040978008
Male,Black,-0.513508378948301,0.7101145433593643,0,14,MB,0,-0.16108898910249603,0.9410971681154643,0.7897185636871072
Male,Black,-0.14650883002019482,-0.7001188954867168,0,15,MB,0,0.20591055982561018,-0.4691362707306168,-0.6205148751589739
Male,White,-0.6970081534123541,-1.4052356149097571,0,16,MW,0,-0.712548433563972,-1.691122049190425,-1.6846574735943611
Male,Black,0.2204907189079114,-1.052677255198237,0,17,MB,0,0.5729101087537164,-0.8216946304421371,-0.9730732348704941
Male,Black,-0.3300086044842479,0.7101145433593643,0,18,MB,0,0.022410785361557106,0.9410971681154643,0.7897185636871072
Female,White,0.2204907189079114,0.004997823936323781,0,19,FW,0,0.11906968827949843,-0.1241816077013232,-0.08200886188530142
Male,White,0.7709900423000706,1.0626729030708846,1,20,MW,0,0.7554497621484526,0.7767864687902166,0.7832510443862806
Male,Black,-4.00000409376531,-1.4052356149097571,0,21,MB,0,-3.647584703919505,-1.1742529901536571,-1.3256315945820143
Female,Black,0.5874902678360175,-1.052677255198237,0,22,FB,0,0.5874902678360175,-1.052677255198237,-1.052677255198237
Male,Black,0.5874902678360175,1.4152312627824049,1,23,MB,1,0.9399096576818226,1.6462138875385048,1.4948352831101477
