G,R,X,Y,Y_bi,UID,GR,noise_Y_bi,X_count,Y_count,Y_count_resolve,Y_count__Y__full,Y_count_resolve__Y__full,Y__Y__full,Y_count_resolve__Y_count_resolve__full,Y_count__Y_count__full
Male,White,-1.6145070257326195,-0.3475605357751965,0,2,MW,0,-1.6300473058842375,-0.6334469700558645,-0.6269823944598005,216,240,252,174,116
Male,Black,0.4039904933719645,0.3575561836478441,0,3,MB,0,0.7564098832177695,0.588538808403944,0.43716020397558697,787,785,714,831,887
Male,Black,-0.3300086044842479,0.7101145433593643,0,6,MB,0,0.022410785361557103,0.9410971681154644,0.7897185636871072,790,809,717,844,891
Male,White,0.03699094444385828,0.7101145433593643,0,9,MW,0,0.021450664292240323,0.4242281090786963,0.4306926846747603,776,778,799,707,628
Male,Black,0.7709900423000706,0.3575561836478441,0,12,MB,0,1.1234094321458756,0.588538808403944,0.43716020397558697,851,825,776,874,939
Female,White,0.2204907189079114,0.004997823936323781,0,19,FW,0,0.11906968827949845,-0.1241816077013232,-0.08200886188530143,508,504,710,480,424
Male,Black,0.5874902678360175,1.4152312627824049,1,23,MB,1,0.9399096576818226,1.6462138875385048,1.4948352831101477,1190,1193,1098,1190,1192
Male,White,0.5874902678360175,1.0626729030708846,1,24,MW,1,0.5719499876843996,0.7767864687902166,0.7832510443862806,967,958,977,891,845
Male,White,-0.6970081534123541,-1.7577939746212776,0,26,MW,0,-0.7125484335639721,-2.043680408901946,-2.037215833305882,55,47,71,30,28
Male,Black,0.03699094444385828,0.7101145433593643,0,33,MB,0,0.3894103342896633,0.9410971681154644,0.7897185636871072,855,865,789,902,960
Male,Black,-2.532005898052885,-1.7577939746212776,0,34,MB,0,-2.17958650820708,-1.5268113498651776,-1.6781899542935348,24,24,20,26,31
Male,White,0.2204907189079114,1.0626729030708846,1,35,MW,0,0.20495043875629346,0.7767864687902166,0.7832510443862806,909,915,935,837,790
Male,Black,0.7709900423000706,0.3575561836478441,0,40,MB,0,1.1234094321458756,0.588538808403944,0.43716020397558697,830,843,772,876,942
Male,Black,0.7709900423000706,0.3575561836478441,0,41,MB,0,1.1234094321458756,0.588538808403944,0.43716020397558697,837,832,762,882,958
Male,White,0.5874902678360175,-0.3475605357751965,0,43,MW,0,0.5719499876843996,-0.6334469700558645,-0.6269823944598005,496,480,526,411,371
Male,Black,0.7709900423000706,1.0626729030708846,1,47,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1067,1091,995,1143,1167
Male,Black,0.4039904933719645,-1.4052356149097571,0,50,MB,0,0.7564098832177695,-1.1742529901536571,-1.3256315945820143,236,223,207,254,282
Female,Black,0.7709900423000706,1.0626729030708846,1,51,FB,0,0.7709900423000706,1.0626729030708846,1.0626729030708846,1031,1024,1214,1095,1057
Male,White,0.5874902678360175,1.4152312627824049,1,56,MW,1,0.5719499876843996,1.1293448285017371,1.1358094040978008,1106,1098,1114,1020,984
Male,Black,0.7709900423000706,1.0626729030708846,1,58,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1085,1086,1013,1127,1146
Male,Black,0.03699094444385828,0.004997823936323781,0,64,MB,0,0.3894103342896633,0.23598044869242374,0.08460184426406668,605,613,552,662,703
Male,White,0.7709900423000706,1.0626729030708846,1,66,MW,1,0.7554497621484526,0.7767864687902166,0.7832510443862806,985,979,1037,912,867
Male,Black,-1.0640077023404604,-1.4052356149097571,0,67,MB,1,-0.7115883124946554,-1.1742529901536571,-1.3256315945820143,104,108,89,116,139
Female,Black,0.7709900423000706,1.0626729030708846,1,70,FB,1,0.7709900423000706,1.0626729030708846,1.0626729030708846,1028,1025,1212,1094,1059
Male,White,0.4039904933719645,-1.4052356149097571,0,73,MW,0,0.38845021322034656,-1.691122049190425,-1.6846574735943611,188,176,223,114,102
Male,Black,-2.532005898052885,-1.7577939746212776,0,74,MB,0,-2.17958650820708,-1.5268113498651776,-1.6781899542935348,25,23,21,25,30
Male,Black,0.7709900423000706,1.0626729030708846,1,83,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1088,1066,990,1144,1145
Female,Black,0.7709900423000706,1.4152312627824049,1,91,FB,1,0.7709900423000706,1.4152312627824049,1.4152312627824049,1177,1182,1241,1176,1122
Male,Black,-1.4310072512685663,-0.7001188954867168,0,92,MB,0,-1.0785878614227613,-0.4691362707306168,-0.6205148751589739,213,233,180,241,256
Male,Black,0.7709900423000706,1.0626729030708846,1,101,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1087,1085,1004,1148,1165
Male,Black,0.5874902678360175,1.4152312627824049,1,105,MB,1,0.9399096576818226,1.6462138875385048,1.4948352831101477,1197,1190,1105,1202,1194
Male,Black,-0.513508378948301,0.3575561836478441,0,106,MB,0,-0.16108898910249606,0.588538808403944,0.43716020397558697,654,671,588,708,740
Male,Black,-3.2660049959090967,-1.052677255198237,0,112,MB,0,-2.9135856060632923,-0.8216946304421371,-0.973073234870494,42,46,39,53,56
Male,Black,0.4039904933719645,1.4152312627824049,1,114,MB,1,0.7564098832177695,1.6462138875385048,1.4948352831101477,1171,1171,1071,1181,1182
Male,Black,0.5874902678360175,-1.4052356149097571,0,116,MB,0,0.9399096576818226,-1.1742529901536571,-1.3256315945820143,262,245,238,280,319
Female,Black,0.7709900423000706,0.3575561836478441,0,120,FB,0,0.7709900423000706,0.3575561836478441,0.3575561836478441,798,791,918,821,778
Male,Black,0.5874902678360175,0.7101145433593643,0,121,MB,0,0.9399096576818226,0.9410971681154644,0.7897185636871072,930,919,854,975,1066
Male,White,0.7709900423000706,1.4152312627824049,1,122,MW,1,0.7554497621484526,1.1293448285017371,1.1358094040978008,1154,1125,1185,1073,1021
Male,Black,0.03699094444385828,0.004997823936323781,0,125,MB,0,0.3894103342896633,0.23598044869242374,0.08460184426406668,611,614,559,659,709
Male,Black,0.5874902678360175,-1.7577939746212776,0,126,MB,0,0.9399096576818226,-1.5268113498651776,-1.6781899542935348,181,163,153,193,225
Female,White,-0.3300086044842479,-1.4052356149097571,0,127,FW,0,-0.4314296351126609,-1.534415046547404,-1.4922423007313823,93,88,229,77,64
Male,Black,0.5874902678360175,1.4152312627824049,1,128,MB,1,0.9399096576818226,1.6462138875385048,1.4948352831101477,1202,1196,1090,1188,1201
Male,Black,-1.7980068001966727,-1.4052356149097571,0,131,MB,0,-1.4455874103508677,-1.1742529901536571,-1.3256315945820143,64,63,58,72,89
Male,Black,0.5874902678360175,0.004997823936323781,0,132,MB,0,0.9399096576818226,0.23598044869242374,0.08460184426406668,702,699,626,740,803
Male,White,0.2204907189079114,0.7101145433593643,0,134,MW,0,0.20495043875629346,0.4242281090786963,0.4306926846747603,793,796,826,720,656
Female,Black,0.03699094444385828,-0.3475605357751965,0,136,FB,1,0.03699094444385828,-0.3475605357751965,-0.3475605357751965,448,451,577,456,421
Male,Black,-1.0640077023404604,-1.4052356149097571,0,139,MB,0,-0.7115883124946554,-1.1742529901536571,-1.3256315945820143,101,109,90,117,140
Male,Black,0.5874902678360175,-1.4052356149097571,0,140,MB,0,0.9399096576818226,-1.1742529901536571,-1.3256315945820143,261,248,237,282,312
Male,Black,-1.7980068001966727,-1.4052356149097571,0,147,MB,0,-1.4455874103508677,-1.1742529901536571,-1.3256315945820143,63,62,57,73,88
Male,White,0.7709900423000706,1.4152312627824049,1,148,MW,1,0.7554497621484526,1.1293448285017371,1.1358094040978008,1133,1151,1194,1065,1017
Male,White,0.5874902678360175,-1.052677255198237,0,151,MW,0,0.5719499876843996,-1.338563689478905,-1.3320991138828409,305,286,342,212,188
Female,White,0.7709900423000706,0.7101145433593643,0,163,FW,0,0.6695690116716577,0.5809351117217173,0.6231078575377391,829,821,1052,819,749
Male,White,0.7709900423000706,1.4152312627824049,1,167,MW,1,0.7554497621484526,1.1293448285017371,1.1358094040978008,1157,1149,1188,1043,1011
Male,White,0.4039904933719645,0.3575561836478441,0,168,MW,0,0.38845021322034656,0.07166974936717607,0.07813432496324008,727,721,731,610,559
Male,Black,0.03699094444385828,0.3575561836478441,0,173,MB,1,0.3894103342896633,0.588538808403944,0.43716020397558697,749,746,672,788,833
Male,Black,-0.14650883002019482,0.7101145433593643,0,174,MB,0,0.20591055982561016,0.9410971681154644,0.7897185636871072,817,849,748,859,918
Male,Black,0.03699094444385828,-1.052677255198237,0,176,MB,0,0.3894103342896633,-0.8216946304421371,-0.973073234870494,303,297,272,317,345
Male,Black,-0.3300086044842479,-1.4052356149097571,0,182,MB,1,0.022410785361557103,-1.1742529901536571,-1.3256315945820143,165,167,147,185,211
