G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,B,1.1688341285565778,0.8794540104182409,MB,1,0.10844562443855299,-0.05044333532152542,0.8495848308354996
M,B,0.028066484940264997,-0.13006995535489002,MB,2,-1.0323220191777598,-1.0186950716502163,-0.11866690549319127
M,B,-0.3287994877279931,-0.31615144742605683,MB,3,-1.389187991846018,-1.3215929488877707,-0.4215647827307456
F,W,-1.1635592959968897,-1.0640919758117489,FW,4,-1.1635592959968897,-1.1041609633647191,-1.1041609633647191
M,B,0.7261929810632327,0.4362151768731909,MB,5,-0.33419552305479205,-0.42614478690924895,0.4738833792477761
M,B,0.6530380456502749,0.4058665129277901,MB,6,-0.40735045846774987,-0.48823665428555885,0.41179151187146623
M,B,0.02153712719477339,-0.007530903868362235,MB,7,-1.0388513769232515,-1.0242370082659342,-0.12420884210890915
M,B,-0.4097684342132053,-0.23810061970958216,MB,8,-1.47015693833123,-1.390317130768038,-0.490288964611013
M,B,-0.016191723317026414,-0.09656155726295504,MB,9,-1.076580227435051,-1.0562602035433966,-0.1562320373863715
M,B,-1.2105897348222383,-0.8360265573543871,MB,10,-2.270978238940263,-2.0700318992774567,-1.1700037331204314
M,B,1.249562164823386,0.8168330350135456,MB,11,0.18917366070536112,0.018076368689322775,0.9181045348463478
M,B,1.2024324976208078,0.842006350700398,MB,12,0.14204399350278307,-0.021925977412315042,0.8781021887447099
M,W,0.6569999998790679,0.4972711359117489,MW,13,-0.4033885042389569,-0.5729577000699029,0.3270704660871221
M,B,-0.013618182746884972,-0.0006580031823287657,MB,14,-1.0740066868649096,-1.054075854136665,-0.15404768797964002
M,B,-0.8567383897036621,-0.6488128219626493,MB,15,-1.917126893821687,-1.769692753763841,-0.8696645876068159
M,W,0.4452151049007125,0.4359879909646097,MW,16,-0.6151733992173123,-0.7527148078722632,0.14731335828476183
M,W,-0.3081075402414702,-0.2713707979939575,MW,17,-1.368496044359495,-1.3921140433400339,-0.49208587718300884
M,B,0.9613826558604764,0.7289212679941932,MB,18,-0.09900584825754832,-0.22652235523936542,0.6735058109176596
M,B,0.5754185371948977,0.5309817023779223,MB,19,-0.4849699669231271,-0.5541179266511137,0.3459102395059114
M,B,0.0969958780513983,0.10030075933137493,MB,20,-0.9633926260666265,-0.9601897266420392,-0.06016156048501406
M,B,-0.35703435868235794,-0.4195698478889828,MB,21,-1.4174228628003827,-1.345557919300076,-0.445529753143051
M,B,2.0957368792311297,1.71571205773573,MB,22,1.035348375113105,0.7362858489875735,1.6363140151445987
M,B,-0.4973876549727965,-0.539320217109237,MB,23,-1.5577761590908212,-1.4646858798388833,-0.5646577136818584
M,W,0.017489891703258303,0.030192693105326164,MW,24,-1.0428986124147666,-1.1157560307431398,-0.21572786458611476
M,B,-0.7394887862779485,-0.6303472005404736,MB,25,-1.7998772903959732,-1.670174562889397,-0.7701463967323721
M,W,1.0122160195119454,0.8829622907428272,MW,26,-0.04817248460607937,-0.2714602569175087,0.6285679092395164
F,B,-2.1327283178125103,-1.878645503190577,FB,27,-2.1327283178125103,-1.8102002703136644,-1.8102002703136644
M,W,0.13767202716728116,0.018323711593812075,MW,28,-0.9227164769507437,-1.013748788523471,-0.11372062236644591
M,B,-0.2195141549994982,-0.2635116063497219,MB,29,-1.2799026591175229,-1.2288346086931095,-0.3288064425360845
