G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,W,-0.3714931417127587,-0.2836244998646908,MW,1,-1.357768362012085,-1.3150275613939921,-0.5351450099574555
M,W,0.943549753677434,0.7874211606844659,MW,2,-0.04272546662189236,-0.2751768306880748,0.5047057207484619
M,B,-0.2643973914543501,-0.4096292613965336,MB,3,-1.2506726117536764,-1.142599231160885,-0.3627166797243484
M,B,0.4562427109919071,0.20066577529334614,MB,4,-0.5300325093074192,-0.5727637225766711,0.2071188288598655
F,B,-0.3737273505381019,-0.3394425770393101,FB,5,-0.3737273505381019,-0.29551937804015305,-0.29551937804015305
M,B,-0.4492189558623841,-0.3772581624204305,MB,6,-1.4354941761617104,-1.2887441512038773,-0.5088615997673408
M,B,0.5079826513942232,0.2999864351986129,MB,7,-0.4782925689051032,-0.5318511295178225,0.24803142191871408
M,W,-0.11828380646903976,-0.08494469814458704,MW,8,-1.104559026768366,-1.1148060224634193,-0.3349234710268826
M,B,-0.99564673108016,-1.0409777171197454,MB,9,-1.9819219513794863,-1.7208238372202174,-0.9409412857836807
M,B,-0.07744904409337007,-0.06069643754293056,MB,10,-1.0637242643926965,-0.9947725889357295,-0.21489003749919283
M,W,0.17660967698620525,0.2740584418855966,MW,11,-0.8096655433131211,-0.8816233595052169,-0.10174080806868022
M,B,0.4740089575265893,0.3352436560906348,MB,12,-0.512266262772737,-0.5587153257481334,0.22116722568840325
M,W,0.2651248678117744,0.3243106013486736,MW,13,-0.721150352487552,-0.811631280782012,-0.03174872934547521
M,W,-0.5609280565399822,-0.3670685960195248,MW,14,-1.5472032768393085,-1.4648204200869044,-0.6849378686503679
M,W,0.20859060606849186,0.14623357770268675,MW,15,-0.7776846142308345,-0.8563349125720828,-0.07645236113554615
M,B,0.001141216079903452,-0.05114153673975712,MB,16,-0.9851340042194229,-0.9326285024165606,-0.15274595098002383
M,B,0.203055295437393,0.03256292486230125,MB,17,-0.7832199248619334,-0.7729679288370199,0.006914622599516834
M,B,0.781510166835716,0.5726809281942271,MB,18,-0.2047650534636104,-0.31556328993703353,0.46431926149950314
M,W,-0.14546151645447852,-0.08452361401848146,MW,19,-1.131736736753805,-1.1362963948963936,-0.35641384345985677
M,B,-0.06648260581055411,-0.1323186989493844,MB,20,-1.0527578261098804,-0.9861010399683143,-0.20621848853177763
M,B,-0.2961961691652165,-0.3920378696800855,MB,21,-1.282471389464543,-1.1677436445896108,-0.3878610931530741
M,B,0.7965133165814589,0.5176099394558429,MB,22,-0.1897619037178675,-0.30369977105054735,0.4761827803859893
M,B,0.3717392868998873,0.28169314146637964,MB,23,-0.6145359333994391,-0.6395835560568301,0.14029899537970647
F,B,-0.4629898311995766,-0.5261530694563402,FB,24,-0.4629898311995766,-0.36610236515474165,-0.36610236515474165
M,W,-0.03611913842840946,0.014229723888867203,MW,25,-1.0223943587277358,-1.0498355257596539,-0.2699529743231172
M,W,0.4457121405294774,0.3564714055989459,MW,26,-0.540563079769849,-0.6688345643023004,0.11104798713423625
M,B,1.303965304760767,0.8243629764949584,MB,27,0.31769008446144076,0.09756038750105295,0.8774429389375897
M,B,-0.7972966760677163,-0.6462494785238603,MB,28,-1.7835718963670426,-1.5639814632084936,-0.784098911771957
M,B,0.29820429011138816,0.05818306092185885,MB,29,-0.6880709301879382,-0.6977302677808532,0.08215228365568347
M,B,-0.7378877059775831,-0.5231836895478554,MB,30,-1.7241629262769096,-1.517004698286783,-0.7371221468502465
F,W,-1.0396791793047078,-0.8245912394517311,FW,31,-1.0396791793047078,-0.9407822764279457,-0.9407822764279457
M,B,0.3685225662778001,0.2517567076108981,MB,32,-0.6177526540215262,-0.6421271303395244,0.13775542109701233
M,W,0.8861876166369018,0.6369781660793252,MW,33,-0.10008760366242453,-0.3205350926318815,0.4593474588046552
M,B,0.6907559602595049,0.5326265121410583,MB,34,-0.29551926003982143,-0.3873258372681665,0.3925567141683702
M,B,0.7689019903140961,0.531477090965356,MB,35,-0.21737322998523023,-0.3255330191487833,0.4543495322877534
M,B,0.6069479405746248,0.415910852607825,MB,36,-0.3793272797247016,-0.4535957899927736,0.32628676144376306
M,W,0.18022169139796315,0.045462162443057286,MW,37,-0.8060535289013632,-0.8787672125015312,-0.0988846610649946
M,W,-1.0145732216672163,-0.8014276951080782,MW,38,-2.000848441966543,-1.8235336286767991,-1.0436510772402623
F,W,-1.8935645363535687,-1.51867677686263,FW,39,-1.8935645363535687,-1.6159795004720208,-1.6159795004720208
M,B,0.01654434646958574,-0.092954423604099,MB,40,-0.9697308738297407,-0.9204487047483505,-0.1405661533118138
M,W,-0.4899972697483604,-0.34127548636584304,MW,41,-1.4762724900476867,-1.4087329489227576,-0.628850397486221
M,B,-0.252326226228108,-0.11295642362030488,MB,42,-1.2386014465274344,-1.1330541356929116,-0.3531715842563749
M,B,-0.7341812245915715,-0.6607639714746583,MB,43,-1.7204564448908979,-1.514073852919607,-0.7341913014830703
M,B,-1.040467108739031,-0.7039450699162102,MB,44,-2.026742329038357,-1.7562648883239254,-0.9763823368873887
M,B,-0.9171644762982896,-0.7872683359745576,MB,45,-1.903439696597616,-1.6587651543677762,-0.8788826029312395
M,B,0.08427539295375208,-0.07110041715865993,MB,46,-0.9019998273455743,-0.8668913809341039,-0.08700882949756732
M,W,0.7323857970850074,0.6227462443037056,MW,47,-0.25388942321431895,-0.44215160796044284,0.3377309434760939
M,B,0.02909610087691003,-0.20498973518680064,MB,48,-0.9571791194224163,-0.9105235904894542,-0.13064103905291757
M,W,0.5547186626907635,0.4380730841651129,MW,49,-0.4315565576085628,-0.5826392682260524,0.1972432832104843
F,B,-0.5138336355875832,-0.7846221838688003,FB,50,-0.5138336355875832,-0.40630635190686204,-0.40630635190686204
M,W,0.7542174736918958,0.6588665416095896,MW,51,-0.2320577466074305,-0.4248885323970618,0.3549940190394748
M,W,-0.4131624279503073,-0.3955174830182084,MW,52,-1.3994376482496336,-1.3479769335353868,-0.5680943820988503
M,W,-0.2202188686872762,-0.0703275225407069,MW,53,-1.2064940889866025,-1.1954096661192677,-0.415527114682731
F,B,-0.6211788303435224,-0.92344553592688,FB,54,-0.6211788303435224,-0.4911879778948966,-0.4911879778948966
